FULL DATA SET'data.frame':	10299 obs. of  70 variables:
 $ tbodygyrojerkmeanx      : num  -0.0634 0.0756 0.047 -0.1203 ...
 $ tbodygyrojerkmeany      : num  0.03158 -0.05686 -0.09651 -0.00423 ...
 $ tbodygyrojerkmeanz      : num  -0.0112 0.14377 0.00215 -0.18785 ...
 $ tbodygyrojerkstdx       : num  -0.228 -0.3 -0.148 -0.411 ...
 $ tbodygyrojerkstdy       : num  -0.293 -0.454 -0.211 0.173 ...
 $ tbodygyrojerkstdz       : num  -0.56075 -0.09672 -0.00331 -0.44637 ...
 $ tbodyaccmagmean         : num  -0.0919 -0.0604 -0.1786 -0.1654 ...
 $ tbodyaccmagstd          : num  -0.219 -0.318 -0.331 -0.25 ...
 $ tgravityaccmagmean      : num  -0.0919 -0.0604 -0.1786 -0.1654 ...
 $ tgravityaccmagstd       : num  -0.219 -0.318 -0.331 -0.25 ...
 $ tbodyaccjerkmagmean     : num  -0.221 -0.177 -0.154 -0.165 ...
 $ tbodyaccjerkmagstd      : num  -0.0879 -0.1895 -0.1146 -0.0714 ...
 $ tbodygyromagmean        : num  -0.2319 -0.2911 -0.2321 -0.0934 ...
 $ tbodygyromagstd         : num  -0.359 -0.457 -0.169 0.095 ...
 $ tbodygyrojerkmagmean    : num  -0.3526 -0.3462 -0.1846 -0.0862 ...
 $ tbodygyrojerkmagstd     : num  -0.26 -0.432 -0.175 0.135 ...
 $ fbodyaccmeanx           : num  -0.426 -0.18 -0.229 -0.337 ...
 $ fbodyaccmeany           : num  -0.0972 0.0852 0.1118 -0.1718 ...
 $ fbodyaccmeanz           : num  0.1846 -0.3 -0.4013 0.0634 ...
 $ fbodyaccstdx            : num  -0.363 -0.21 -0.384 -0.403 ...
 $ fbodyaccstdy            : num  -0.2983 0.0866 0.0919 -0.272 ...
 $ fbodyaccstdz            : num  0.319 -0.385 -0.52 0.104 ...
 $ fbodyaccjerkmeanx       : num  -0.49 -0.2 -0.174 -0.353 ...
 $ fbodyaccjerkmeany       : num  -0.189 -0.1399 -0.0781 -0.2802 ...
 $ fbodyaccjerkmeanz       : num  0.0147 -0.3993 -0.4145 -0.0667 ...
 $ fbodyaccjerkstdx        : num  -0.5 -0.269 -0.219 -0.372 ...
 $ fbodyaccjerkstdy        : num  -0.18651 -0.00372 0.12855 -0.18274 ...
 $ fbodyaccjerkstdz        : num  -0.1381 -0.4783 -0.5398 -0.0346 ...
 $ fbodygyromeanx          : num  -0.321 -0.311 -0.164 -0.368 ...
 $ fbodygyromeany          : num  -0.201 -0.414 -0.185 0.127 ...
 $ fbodygyromeanz          : num  -0.4485 -0.157 -0.0698 -0.2908 ...
 $ fbodygyrostdx           : num  -0.574 -0.491 -0.487 -0.544 ...
 $ fbodygyrostdy           : num  -0.294 -0.387 -0.229 0.201 ...
 $ fbodygyrostdz           : num  -0.445 -0.433 -0.441 -0.373 ...
 $ fbodyaccmagmean         : num  -0.224 -0.196 -0.213 -0.135 ...
 $ fbodyaccmagstd          : num  -0.338 -0.505 -0.512 -0.44 ...
 $ fbodybodyaccjerkmagmean : num  -0.1081 -0.1625 -0.0958 -0.0753 ...
 $ fbodybodyaccjerkmagstd  : num  -0.0685 -0.2309 -0.139 -0.0728 ...
 $ fbodybodygyromagmean    : num  -0.356 -0.414 -0.149 0.202 ...
 $ fbodybodygyromagstd     : num  -0.474 -0.589 -0.331 -0.192 ...
 $ fbodybodygyrojerkmagmean: num  -0.2935 -0.5085 -0.2354 0.0615 ...
 $ fbodybodygyrojerkmagstd : num  -0.269 -0.382 -0.158 0.149 ...
 $ activitylabel           : Factor w/ 6 levels "LAYING","SITTING",..: 4 4 4 4 4 4 4 4 ...


SUMMARIZED DATA SET'data.frame':	180 obs. of  68 variables:
 $ activitylabel           : Factor w/ 6 levels "LAYING","SITTING",..: 4 4 4 4 4 4 4 4 ...
 $ subjectid               : num  1 2 3 4 5 6 7 8 ...
 $ tbodyaccmeanx           : num  0.277 0.276 0.276 0.279 ...
 $ tbodyaccmeany           : num  -0.0174 -0.0186 -0.0172 -0.0148 ...
 $ tbodyaccmeanz           : num  -0.111 -0.106 -0.113 -0.111 ...
 $ tbodyaccstdx            : num  -0.284 -0.424 -0.36 -0.441 ...
 $ tbodyaccstdy            : num  0.1145 -0.0781 -0.0699 -0.0788 ...
 $ tbodyaccstdz            : num  -0.26 -0.425 -0.387 -0.586 ...
 $ tgravityaccmeanx        : num  0.935 0.913 0.937 0.964 ...
 $ tgravityaccmeany        : num  -0.2822 -0.3466 -0.262 -0.0859 ...
 $ tgravityaccmeanz        : num  -0.0681 0.0847 -0.1381 0.1278 ...
 $ tgravityaccstdx         : num  -0.977 -0.973 -0.978 -0.984 ...
 $ tgravityaccstdy         : num  -0.971 -0.972 -0.962 -0.968 ...
 $ tgravityaccstdz         : num  -0.948 -0.972 -0.952 -0.963 ...
 $ tbodyaccjerkmeanx       : num  0.074 0.0618 0.0815 0.0784 ...
 $ tbodyaccjerkmeany       : num  0.02827 0.01825 0.01006 0.00296 ...
 $ tbodyaccjerkmeanz       : num  -0.004168 0.007895 -0.005623 -0.000768 ...
 $ tbodyaccjerkstdx        : num  -0.114 -0.278 -0.269 -0.297 ...
 $ tbodyaccjerkstdy        : num  0.067 -0.0166 -0.045 -0.2212 ...
 $ tbodyaccjerkstdz        : num  -0.503 -0.586 -0.529 -0.751 ...
 $ tbodygyromeanx          : num  -0.0418 -0.053 -0.0256 -0.0318 ...
 $ tbodygyromeany          : num  -0.0695 -0.0482 -0.0779 -0.0727 ...
 $ tbodygyromeanz          : num  0.0849 0.0828 0.0813 0.0806 ...
 $ tbodygyrostdx           : num  -0.474 -0.562 -0.572 -0.501 ...
 $ tbodygyrostdy           : num  -0.0546 -0.5385 -0.5638 -0.6654 ...
 $ tbodygyrostdz           : num  -0.344 -0.481 -0.477 -0.663 ...
 $ tbodygyrojerkmeanx      : num  -0.09 -0.0819 -0.0952 -0.1153 ...
 $ tbodygyrojerkmeany      : num  -0.0398 -0.0538 -0.0388 -0.0393 ...
 $ tbodygyrojerkmeanz      : num  -0.0461 -0.0515 -0.0504 -0.0551 ...
 $ tbodygyrojerkstdx       : num  -0.207 -0.39 -0.386 -0.492 ...
 $ tbodygyrojerkstdy       : num  -0.304 -0.634 -0.639 -0.807 ...
 $ tbodygyrojerkstdz       : num  -0.404 -0.435 -0.537 -0.64 ...
 $ tbodyaccmagmean         : num  -0.137 -0.29 -0.255 -0.312 ...
 $ tbodyaccmagstd          : num  -0.22 -0.423 -0.328 -0.528 ...
 $ tgravityaccmagmean      : num  -0.137 -0.29 -0.255 -0.312 ...
 $ tgravityaccmagstd       : num  -0.22 -0.423 -0.328 -0.528 ...
 $ tbodyaccjerkmagmean     : num  -0.141 -0.281 -0.28 -0.367 ...
 $ tbodyaccjerkmagstd      : num  -0.0745 -0.1642 -0.1399 -0.3169 ...
 $ tbodygyromagmean        : num  -0.161 -0.447 -0.466 -0.498 ...
 $ tbodygyromagstd         : num  -0.187 -0.553 -0.562 -0.553 ...
 $ tbodygyrojerkmagmean    : num  -0.299 -0.548 -0.566 -0.681 ...
 $ tbodygyrojerkmagstd     : num  -0.325 -0.558 -0.567 -0.73 ...
 $ fbodyaccmeanx           : num  -0.203 -0.346 -0.317 -0.427 ...
 $ fbodyaccmeany           : num  0.0897 -0.0219 -0.0813 -0.1494 ...
 $ fbodyaccmeanz           : num  -0.332 -0.454 -0.412 -0.631 ...
 $ fbodyaccstdx            : num  -0.319 -0.458 -0.379 -0.447 ...
 $ fbodyaccstdy            : num  0.056 -0.169 -0.124 -0.102 ...
 $ fbodyaccstdz            : num  -0.28 -0.455 -0.423 -0.594 ...
 $ fbodyaccjerkmeanx       : num  -0.171 -0.305 -0.305 -0.359 ...
 $ fbodyaccjerkmeany       : num  -0.0352 -0.0788 -0.1405 -0.2796 ...
 $ fbodyaccjerkmeanz       : num  -0.469 -0.555 -0.514 -0.729 ...
 $ fbodyaccjerkstdx        : num  -0.134 -0.314 -0.297 -0.297 ...
 $ fbodyaccjerkstdy        : num  0.10674 -0.01533 -0.00561 -0.2099 ...
 $ fbodyaccjerkstdz        : num  -0.535 -0.616 -0.544 -0.772 ...
 $ fbodygyromeanx          : num  -0.339 -0.43 -0.438 -0.373 ...
 $ fbodygyromeany          : num  -0.103 -0.555 -0.562 -0.688 ...
 $ fbodygyromeanz          : num  -0.256 -0.397 -0.418 -0.601 ...
 $ fbodygyrostdx           : num  -0.517 -0.604 -0.615 -0.543 ...
 $ fbodygyrostdy           : num  -0.0335 -0.533 -0.5689 -0.6547 ...
 $ fbodygyrostdz           : num  -0.437 -0.56 -0.546 -0.716 ...
 $ fbodyaccmagmean         : num  -0.129 -0.324 -0.29 -0.451 ...
 $ fbodyaccmagstd          : num  -0.398 -0.577 -0.456 -0.651 ...
 $ fbodybodyaccjerkmagmean : num  -0.0571 -0.1691 -0.1868 -0.3186 ...
 $ fbodybodyaccjerkmagstd  : num  -0.1035 -0.1641 -0.0899 -0.3205 ...
 $ fbodybodygyromagmean    : num  -0.199 -0.531 -0.57 -0.609 ...
 $ fbodybodygyromagstd     : num  -0.321 -0.652 -0.633 -0.594 ...
 $ fbodybodygyrojerkmagmean: num  -0.319 -0.583 -0.608 -0.724 ...
 $ fbodybodygyrojerkmagstd : num  -0.382 -0.558 -0.549 -0.758 ...
